topic_index,label,size,top_terms,representative_texts
22,study / plan / studies,931,"[""study"", ""plan"", ""studies"", ""local"", ""city"", ""local hazard"", ""comprehensive plan"", ""comprehensive"", ""hazard"", ""adopt"", ""develop adopt"", ""planning activities"", ""shall develop"", ""planning"", ""develop""]","[""The City of Hempstead shall conduct the following Planning Activities according to the requirements set forth below and in the RCP Application Guide. The City of Hempstead's planning Activities performed under this Contract will result in the development and formal adoption by Subrecipient of plans, codes, and/or ordinances. The City of Hempstead shall devel"", ""The City of Hempstead shall conduct the following Planning Activities according to the requirements set forth below and in the RCP Application Guide. The City of Hempstead's planning Activities performed under this Contract will result in the development and formal adoption by Subrecipient of plans, codes, and/or ordinances. The City of Hempstead shall devel"", ""The City of Hempstead shall conduct the following Planning Activities according to the requirements set forth below and in the RCP Application Guide. The City of Hempstead's planning Activities performed under this Contract will result in the development and formal adoption by Subrecipient of plans, codes, and/or ordinances. The City of Hempstead shall devel"", ""The City of Hempstead shall conduct the following Planning Activities according to the requirements set forth below and in the RCP Application Guide. The City of Hempstead's planning Activities performed under this Contract will result in the development and formal adoption by Subrecipient of plans, codes, and/or ordinances. The City of Hempstead shall devel"", ""The City of Wimberley shall conduct the following Planning Activities according to the requirements set forth below and in the RCP Application Guide. The City of Wimberley's Planning Activities performed under this Contract will result in the development and formal adoption by Subrecipient of plans, codes, and/or ordinances. The City of Wimberley shall devel""]"
39,percent / residential / ratio,842,"[""percent"", ""residential"", ""ratio"", ""reconstruction"", ""data"", ""portion"", ""improvement"", ""combined ratio"", ""percent combined"", ""reconstruction requirements"", ""baseline reconstruction"", ""estimates increase"", ""capacity baseline"", ""baseline"", ""increase capacity""]","[""a ratio of .8383 residential benefit. The term &ldquoresidential properties,&rdquo for this purpose, may include parcels, acres, and/or structures as available through the data sources utilized for mapping purposes. Portion Improvement: The data gathered from applications and contract performance statements identified grossly undersized and/or nonexistent dr"", ""a ratio of .8383 residential benefit. The term &ldquoresidential properties,&rdquo for this purpose, may include parcels, acres, and/or structures as available through the data sources utilized for mapping purposes. Portion Improvement: The data gathered from applications and contract performance statements identified grossly undersized and/or nonexistent dr"", ""a ratio of .8383 residential benefit. The term &ldquoresidential properties,&rdquo for this purpose, may include parcels, acres, and/or structures as available through the data sources utilized for mapping purposes. Portion Improvement: The data gathered from applications and contract performance statements identified grossly undersized and/or nonexistent dr"", ""a ratio of .8383 residential benefit. The term &ldquoresidential properties,&rdquo for this purpose, may include parcels, acres, and/or structures as available through the data sources utilized for mapping purposes. Portion Improvement: The data gathered from applications and contract performance statements identified grossly undersized and/or nonexistent dr"", ""a ratio of .8383 residential benefit. The term &ldquoresidential properties,&rdquo for this purpose, may include parcels, acres, and/or structures as available through the data sources utilized for mapping purposes. Portion Improvement: The data gathered from applications and contract performance statements identified grossly undersized and/or nonexistent dr""]"
9,units / resiliency / housing,835,"[""units"", ""resiliency"", ""housing"", ""homes"", ""properties"", ""protected future"", ""protected"", ""retrofitted"", ""retrofitted resiliency"", ""homes retrofitted"", ""resiliency measures"", ""future"", ""replaced"", ""measures"", ""residents""]","[""State most-impacted and distressed Hurricane Harvey Homeowner Assistance Program (HAP) Housing Oversubscription Supplemental funds to move forward with reconstruction of damaged homes for waitlisted HAP eligible applicants. Total Proposed Accomplishments # of Singlefamily Units 14 # of Multifamily Units # of Housing Units 14 # of properties with access above"", ""State most-impacted and distressed Hurricane Harvey Homeowner Assistance Program (HAP) Housing Oversubscription Supplemental funds to move forward with reconstruction of damaged homes for waitlisted HAP eligible applicants. Total Proposed Accomplishments # of Singlefamily Units 14 # of Multifamily Units # of Housing Units 14 # of properties with access above"", ""State most-impacted and distressed Hurricane Harvey Homeowner Assistance Program (HAP) Housing Oversubscription Supplemental funds to move forward with reconstruction of damaged homes for waitlisted HAP eligible applicants. Total Proposed Accomplishments # of Singlefamily Units 11 # of Multifamily Units # of Housing Units 11 # of properties with access above"", ""State most-impacted and distressed Hurricane Harvey Homeowner Assistance Program (HAP) Housing Oversubscription Supplemental funds to move forward with reconstruction of damaged homes for waitlisted HAP eligible applicants. Total Proposed Accomplishments # of Singlefamily Units 11 # of Multifamily Units # of Housing Units 11 # of properties with access above"", ""State most-impacted and distressed Hurricane Harvey Homeowner Assistance Program (HAP) Housing Oversubscription Supplemental funds to move forward with reconstruction of damaged homes for waitlisted HAP eligible applicants. # of Housing Units 11 # of properties with access above 100-yr flood level 1 % reduction in energy costs 10 # of residents protected fro""]"
38,generator / affixed / permanently affixed,712,"[""generator"", ""affixed"", ""permanently affixed"", ""permanently"", ""install permanently"", ""diesel"", ""shall purchase"", ""purchase"", ""affixed diesel"", ""install"", ""purchase install"", ""water"", ""contractor shall"", ""contractor"", ""diesel generator""]","[""Contractor shall purchase and install 15 permanently affixed generators. Actual work to be performed is as follows: Brookeland WSC: Install one 125kw propane generator at Water Plant and one 125kW propane generator at the Remote Plant. Jasper County WCID #1: Install one 125kW diesel generator. South Jasper WSC: Install one 125kW diesel generator at Well #1 a"", ""Contractor shall purchase and install 15 permanently affixed generators. Actual work to be performed is as follows: Brookeland WSC: Install one 125kw propane generator at Water Plant and one 125kW propane generator at the Remote Plant. Jasper County WCID #1: Install one 125kW diesel generator. South Jasper WSC: Install one 125kW diesel generator at Well #1 a"", ""Contractor shall purchase and install 15 permanently affixed generators. Actual work to be performed is as follows: Brookeland WSC: Install one 125kw propane generator at Water Plant and one 125kW propane generator at the Remote Plant. Jasper County WCID #1: Install one 125kW diesel generator. South Jasper WSC: Install one 125kW diesel generator at Well #1 a"", ""Contractor shall purchase and install 15 permanently affixed generators. Actual work to be performed is as follows: Brookeland WSC: Install one 125kw propane generator at Water Plant and one 125kW propane generator at the Remote Plant. Jasper County WCID #1: Install one 125kW diesel generator. South Jasper WSC: Install one 125kW diesel generator at Well #1 a"", ""Contractor shall purchase and install 15 permanently affixed generators. Actual work to be performed is as follows: Brookeland WSC: Install one 125kw propane generator at Water Plant and one 125kW propane generator at the Remote Plant. Jasper County WCID #1: Install one 125kW diesel generator. South Jasper WSC: Install one 125kW diesel generator at Well #1 a""]"
35,harris county / harris / county,699,"[""harris county"", ""harris"", ""county"", ""areas"", ""activities"", ""program"", ""flood"", ""housing"", ""objective"", ""meet"", ""buyout"", ""affordable"", ""activities meet"", ""national objective"", ""meet low""]","[""Harris County will offer buyout assistance for households and commercial properties. Assistance will be provided to homeowners and commercial property owners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet low to moderate i"", ""Harris County will offer buyout assistance for households and commercial properties. Assistance will be provided to homeowners and commercial property owners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet low to moderate i"", ""Harris County will offer buyout assistance for commercial properties. Assistance will be provided to individuals with commercial property located in a floodplain or in a repetitive flood area. This will be considered an area benefit as the County has designated target areas to buyout repetitively flooded properties and to use these areas as green/open space"", ""Harris County will offer buyout assistance for commercial properties. Assistance will be provided to individuals with commercial property located in a floodplain or in a repetitive flood area. This will be considered an area benefit as the County has designated target areas to buyout repetitively flooded properties and to use these areas as green/open space"", ""Harris County will offer buyout assistance for commercial properties. Assistance will be provided to individuals with commercial property located in a floodplain or in a repetitive flood area. This will be considered an area benefit as the County has designated target areas to buyout repetitively flooded properties and to use these areas as green/open space""]"
34,replaced / units / light fixtures,655,"[""replaced"", ""units"", ""light fixtures"", ""replaced light"", ""low flow"", ""fixtures"", ""energy star"", ""star"", ""light"", ""flow"", ""labor hours"", ""labor"", ""hours"", ""energy"", ""section labor""]","[""The GLO will administer the Homeowner Reimbursement Program (HRP) for eligible expenses and Small Business Administration (SBA) disaster home loans incurred by homeowners for repairs to a primary residence prior to application for these funds. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # of Elevated Structures # of"", ""The GLO will administer the Homeowner Reimbursement Program (HRP) for eligible expenses and Small Business Administration (SBA) disaster home loans incurred by homeowners for repairs to a primary residence prior to application for these funds. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # of Elevated Structures # of"", ""The GLO will administer the Homeowner Reimbursement Program (HRP) for eligible expenses and Small Business Administration (SBA) disaster home loans incurred by homeowners for repairs to a primary residence prior to application for these funds. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # of Elevated Structures # of"", ""The GLO will administer the Homeowner Reimbursement Program (HRP) for eligible expenses and Small Business Administration (SBA) disaster home loans incurred by homeowners for repairs to a primary residence prior to application for these funds. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # of Elevated Structures # of"", ""The GLO will administer the Homeowner Reimbursement Program (HRP) for eligible expenses and Small Business Administration (SBA) disaster home loans incurred by homeowners for repairs to a primary residence prior to application for these funds. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # of Elevated Structures # of""]"
25,glo / housing / eligible,612,"[""glo"", ""housing"", ""eligible"", ""glo operation"", ""discretion glo"", ""implementation services"", ""housing implementation"", ""perform housing"", ""discretion"", ""provider perform"", ""services discretion"", ""assistance"", ""assist glo"", ""operation housing"", ""glo assist""]","[""Provider may perform housing implementation services, at the discretion of the GLO, to assist the GLO in the operation of Housing Assistance Program for eligible counties in the Capitol Area Council of Government. Households under at or below eighty percent of the area median income will be eligible for assistance. These activities will meet the low to moder"", ""Provider may perform housing implementation services, at the discretion of the GLO, to assist the GLO in the operation of Housing Assistance Program for eligible counties in the Capitol Area Council of Government. Households under at or below eighty percent of the area median income will be eligible for assistance. These activities will meet the low to moder"", ""Provider may perform housing implementation services, at the discretion of the GLO, to assist the GLO in the operation of Housing Assistance Program for eligible counties in the Capitol Area Council of Government. Households under at or below eighty percent of the area median income will be eligible for assistance. These activities will meet the low to moder"", ""Provider may perform housing implementation services, at the discretion of the GLO, to assist the GLO in the operation of Housing Assistance Program for eligible counties in the Capitol Area Council of Government. Households under at or below eighty percent of the area median income will be eligible for assistance. These activities will meet the low to moder"", ""Provider may perform housing implementation services, at the discretion of the GLO, to assist the GLO in the operation of Housing Assistance Program for eligible counties in the Capitol Area Council of Government. Households under at or below eighty percent of the area median income will be eligible for assistance. These activities will meet the low to moder""]"
27,counties / texas / disaster,576,"[""counties"", ""texas"", ""disaster"", ""assessment"", ""landfall"", ""declaration"", ""state"", ""needs"", ""impacted"", ""rain"", ""communities"", ""billion"", ""floods"", ""disaster declaration"", ""events""]","[""Over the past two years, Texas has experienced major disaster events \u2014 including numerous floods, tornadoes, and wildfires \u2014 that have produced six disaster declarations spread over 160 of the state\u2019s 254 counties. The Texas counties impacted represent 76 percent of the Texas population, or 20.9 million people \u2014 a population greater than that of 48 states. I"", ""Over the past two years, Texas has experienced major disaster events \u2014 including numerous floods, tornadoes, and wildfires \u2014 that have produced six disaster declarations spread over 160 of the state\u2019s 254 counties. The Texas counties impacted represent 76 percent of the Texas population, or 20.9 million people \u2014 a population greater than that of 48 states. I"", ""Over the past two years, Texas has experienced major disaster events \u2014 including numerous floods, tornadoes, and wildfires \u2014 that have produced six disaster declarations spread over 160 of the state\u2019s 254 counties. The Texas counties impacted represent 76 percent of the Texas population, or 20.9 million people \u2014 a population greater than that of 48 states. I"", ""Over the past two years, Texas has experienced major disaster events \u2014 including numerous floods, tornadoes, and wildfires \u2014 that have produced six disaster declarations spread over 160 of the state\u2019s 254 counties. The Texas counties impacted represent 76 percent of the Texas population, or 20.9 million people \u2014 a population greater than that of 48 states. I"", ""Over the past two years, Texas has experienced major disaster events \u2014 including numerous floods, tornadoes, and wildfires \u2014 that have produced six disaster declarations spread over 160 of the state\u2019s 254 counties. The Texas counties impacted represent 76 percent of the Texas population, or 20.9 million people \u2014 a population greater than that of 48 states. I""]"
28,fair housing / fair / housing,505,"[""fair housing"", ""fair"", ""housing"", ""develop"", ""affh issues"", ""perform activities"", ""impediments"", ""affirmatively fair"", ""affirmatively"", ""affh"", ""procedures"", ""local"", ""issues"", ""activities"", ""planning""]","[""Contractor shall conduct Fair Housing Planning activities and develop a Fair Housing Plan (If Applicable) and/or perform other activities associated with Affirmatively Further Fair Housing (AFFH) issues. The following is a partial list of possible activities to address AFFH issues: conduct an Analysis of Impediments to Fair Housing study and develop strategi"", ""Contractor shall conduct Fair Housing Planning activities and develop a Fair Housing Plan (If Applicable) and/or perform other activities associated with Affirmatively Further Fair Housing (AFFH) issues. The following is a partial list of possible activities to address AFFH issues: conduct an Analysis of Impediments to Fair Housing study and develop strategi"", ""Contractor shall conduct Fair Housing Planning activities and develop a Fair Housing Plan (If Applicable) and/or perform other activities associated with Affirmatively Further Fair Housing (AFFH) issues. The following is a partial list of possible activities to address AFFH issues: conduct an Analysis of Impediments to Fair Housing study and develop strategi"", ""Contractor shall conduct Fair Housing Planning activities and develop a Fair Housing Plan (if applicable) and/or perform other activities associated with Affirmatively Further Fair Housing (AFFH) issues. The following is a partial list of possible activities to address AFFH issues: conduct an Analysis of Impediments to Fair Housing study and develop strategi"", ""Contractor shall conduct Fair Housing Planning activities and develop a Fair Housing Plan (if applicable) and/or perform other activities associated with Affirmatively Further Fair Housing (AFFH) issues. The following is a partial list of possible activities to address AFFH issues: conduct an Analysis of Impediments to Fair Housing study and develop strategi""]"
14,council governments / governments / council,210,"[""council governments"", ""governments"", ""council"", ""area council"", ""golden crescent"", ""crescent"", ""golden"", ""region"", ""central"", ""governments cog"", ""cog"", ""known"", ""assigned work"", ""assigned"", ""work order""]","[""The Council of Governments (\u201cCOG\u201d) regions assigned under this Work Order are the Alamo Area Council of Governments (\u201cAACOG\u201d), Brazos Valley Council of Governments (\u201cBVCOG\u201d), Capital Area Council of Governments (\u201cCAPCOG\u201d), Central Texas Council of Governments (\u201cCTCOG\u201d), and Golden Crescent Regional Planning Commission (\u201cGCRPC\u201d), collectively known as the Cen"", ""The Council of Governments (\u201cCOG\u201d) regions assigned under this Work Order are the Alamo Area Council of Governments (\u201cAACOG\u201d), Brazos Valley Council of Governments (\u201cBVCOG\u201d), Capital Area Council of Governments (\u201cCAPCOG\u201d), Central Texas Council of Governments (\u201cCTCOG\u201d), and Golden Crescent Regional Planning Commission (\u201cGCRPC\u201d), collectively known as the Cen"", ""The Council of Governments (\u201cCOG\u201d) regions assigned under this Work Order are the Alamo Area Council of Governments (\u201cAACOG\u201d), Brazos Valley Council of Governments (\u201cBVCOG\u201d), Capital Area Council of Governments (\u201cCAPCOG\u201d), Central Texas Council of Governments (\u201cCTCOG\u201d), and Golden Crescent Regional Planning Commission (\u201cGCRPC\u201d), collectively known as the Cen"", ""The Council of Governments (\u201cCOG\u201d) regions assigned under this Work Order are the Alamo Area Council of Governments (\u201cAACOG\u201d), Brazos Valley Council of Governments (\u201cBVCOG\u201d), Capital Area Council of Governments (\u201cCAPCOG\u201d), Central Texas Council of Governments (\u201cCTCOG\u201d), and Golden Crescent Regional Planning Commission (\u201cGCRPC\u201d), collectively known as the Cen"", ""The Council of Governments (\u201cCOG\u201d) regions assigned under this Work Order are the Alamo Area Council of Governments (\u201cAACOG\u201d), Brazos Valley Council of Governments (\u201cBVCOG\u201d), Capital Area Council of Governments (\u201cCAPCOG\u201d), Central Texas Council of Governments (\u201cCTCOG\u201d), and Golden Crescent Regional Planning Commission (\u201cGCRPC\u201d), collectively known as the Cen""]"
23,rainfall / land area / rain,105,"[""rainfall"", ""land area"", ""rain"", ""state"", ""inches"", ""land"", ""service update"", ""greater inches"", ""harvey dumped"", ""additional shades"", ""stopped hurricane"", ""stopped"", ""rainfall just"", ""effectively map"", ""fell hurricane""]","[""percent or 39,496 square miles of land area in the state and contain approximately 32 percent of the state\u2019s population. The land area affected is roughly the size of the state of Kentucky.7 Nearly 8.9 million Texans live in the affected counties. The two catastrophic characteristics of Hurricane Harvey: (1) hurricane-force winds and (2) a slow-moving storm"", ""percent or 39,496 square miles of land area in the state and contain approximately 32 percent of the state\u2019s population. The land area affected is roughly the size of the state of Kentucky.7 Nearly 8.9 million Texans live in the affected counties. The two catastrophic characteristics of Hurricane Harvey: (1) hurricane-force winds and (2) a slow-moving storm"", ""percent or 39,496 square miles of land area in the state and contain approximately 32 percent of the state\u2019s population. The land area affected is roughly the size of the state of Kentucky.7 Nearly 8.9 million Texans live in the affected counties. The two catastrophic characteristics of Hurricane Harvey: (1) hurricane-force winds and (2) a slow-moving storm"", ""percent or 39,496 square miles of land area in the state and contain approximately 32 percent of the state\u2019s population. The land area affected is roughly the size of the state of Kentucky.7 Nearly 8.9 million Texans live in the affected counties. The two catastrophic characteristics of Hurricane Harvey: (1) hurricane-force winds and (2) a slow-moving storm"", ""percent or 39,496 square miles of land area in the state and contain approximately 32 percent of the state\u2019s population. The land area affected is roughly the size of the state of Kentucky.7 Nearly 8.9 million Texans live in the affected counties. The two catastrophic characteristics of Hurricane Harvey: (1) hurricane-force winds and (2) a slow-moving storm""]"
